record_timestamp,name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,geometry.type,geometry.coordinates,lat,lng
2024-04-16T12:27:00.395Z,Benjamin Godard - Victor Hugo,16107,2,1,"[48.865983, 2.275725]",2024-04-16T12:17:59+00:00,3,32,35,1,1,Paris,OUI,Point,"[2.275725, 48.865983]",48.865983,2.275725
2024-04-16T12:27:00.395Z,Rouget de L'isle - Watteau,44015,4,5,"[48.778192750803, 2.3963020229163]",2024-04-16T12:19:25+00:00,9,11,20,1,1,Vitry-sur-Seine,OUI,Point,"[2.3963020229163, 48.778192750803]",48.778192750803,2.3963020229163
2024-04-16T12:27:00.395Z,Mairie du 12ème,12109,0,10,"[48.840855311763, 2.3875549435616]",2024-04-16T12:20:03+00:00,10,17,30,1,1,Paris,OUI,Point,"[2.3875549435616, 48.840855311763]",48.840855311763,2.3875549435616
2024-04-16T12:27:00.395Z,Cassini - Denfert-Rochereau,14111,3,1,"[48.837525839067, 2.3360354080796]",2024-04-16T12:15:23+00:00,4,21,25,1,1,Paris,OUI,Point,"[2.3360354080796, 48.837525839067]",48.837525839067,2.3360354080796
2024-04-16T12:27:00.395Z,Basilique,32017,5,5,"[48.93626891059109, 2.3588666820200914]",2024-04-16T12:18:29+00:00,10,10,22,1,1,Saint-Denis,OUI,Point,"[2.3588666820200914, 48.93626891059109]",48.93626891059109,2.3588666820200914
2024-04-16T12:27:00.395Z,Charonne - Robert et Sonia Delaunay,11104,4,0,"[48.855907555969, 2.3925706744194]",2024-04-16T12:21:34+00:00,4,16,20,1,1,Paris,OUI,Point,"[2.3925706744194, 48.855907555969]",48.855907555969,2.3925706744194
2024-04-16T12:27:00.395Z,Vaneau - Sèvres,7002,2,5,"[48.848563233059, 2.3204218259346]",2024-04-16T12:21:06+00:00,7,26,35,1,1,Paris,OUI,Point,"[2.3204218259346, 48.848563233059]",48.848563233059,2.3204218259346
2024-04-16T12:27:00.395Z,Lacépède - Monge,5110,0,1,"[48.84389286531899, 2.3519663885235786]",2024-04-16T12:14:40+00:00,1,19,23,1,1,Paris,OUI,Point,"[2.3519663885235786, 48.84389286531899]",48.84389286531899,2.3519663885235786
2024-04-16T12:27:00.395Z,Saint-Romain - Cherche-Midi,6108,0,4,"[48.84708159081946, 2.321374788880348]",2024-04-16T12:20:28+00:00,4,13,17,1,1,Paris,OUI,Point,"[2.321374788880348, 48.84708159081946]",48.84708159081946,2.321374788880348
2024-04-16T12:27:00.395Z,André Karman - République,33006,5,3,"[48.91039875761846, 2.3851355910301213]",2024-04-16T12:19:49+00:00,8,22,31,1,1,Aubervilliers,OUI,Point,"[2.3851355910301213, 48.91039875761846]",48.91039875761846,2.3851355910301213
2024-04-16T12:27:00.395Z,Silly - Galliéni,21010,2,5,"[48.835583838706, 2.2325500845909]",2024-04-16T12:14:06+00:00,7,18,25,1,1,Boulogne-Billancourt,OUI,Point,"[2.2325500845909, 48.835583838706]",48.835583838706,2.2325500845909
2024-04-16T12:27:00.395Z,Place Nelson Mandela,25006,0,0,"[48.862453313908, 2.1961666225454]",2024-04-16T12:18:55+00:00,0,22,22,1,1,Rueil-Malmaison,OUI,Point,"[2.1961666225454, 48.862453313908]",48.862453313908,2.1961666225454
2024-04-16T12:27:00.395Z,Jouffroy d'Abbans - Wagram,17026,4,2,"[48.881973298352, 2.301132157445]",2024-04-16T12:22:10+00:00,6,33,40,1,1,Paris,OUI,Point,"[2.301132157445, 48.881973298352]",48.881973298352,2.301132157445
2024-04-16T12:27:00.395Z,Morillons - Dantzig,15047,2,1,"[48.83310149953933, 2.299380004405976]",2024-04-16T12:19:57+00:00,3,49,52,1,1,Paris,OUI,Point,"[2.299380004405976, 48.83310149953933]",48.83310149953933,2.299380004405976
